Record ID,035__a,Collection name,Status,Link to record,Image Url,Image Path
30530,calher_cubanc_25_132_00181030,Jesse Brown Cook Scrapbooks Documenting San Francisco History and Law Enforcement,fetched,https://digicoll.lib.berkeley.edu/record/30530?ln=en,https://digicoll.lib.berkeley.edu/record/30530/files/I0051531A.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/30/30530/I0051531A.jpg
43387,calher_cubanc_25_144_00171892,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe",fetched,https://digicoll.lib.berkeley.edu/record/43387?ln=en,https://digicoll.lib.berkeley.edu/record/43387/files/I0032581A.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/43/43387/I0032581A.jpg
43401,calher_cubanc_25_144_00171902,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe",fetched,https://digicoll.lib.berkeley.edu/record/43401?ln=en,https://digicoll.lib.berkeley.edu/record/43401/files/I0032591A.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/43/43401/I0032591A.jpg
43408,calher_cubanc_25_144_00171906,"Photographs of San Francisco's Chinatown, Taken by James Wong Howe",fetched,https://digicoll.lib.berkeley.edu/record/43408?ln=en,https://digicoll.lib.berkeley.edu/record/43408/files/I0032595A.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/43/43408/I0032595A.jpg
45950,pictman_cubanc_79_55_00211558,Chauncey Hare photograph archive.,fetched,https://digicoll.lib.berkeley.edu/record/45950?ln=en,https://digicoll.lib.berkeley.edu/record/45950/files/brk00007255_24a_k.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/45/45950/brk00007255_24a_k.jpg
75453,calher_cubanc_25_148_00172263,"Stereographs of the West, ca. 1858-1906",fetched,https://digicoll.lib.berkeley.edu/record/75453?ln=en,https://digicoll.lib.berkeley.edu/record/75453/files/I0047608A.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/75/75453/I0047608A.jpg
141545,BancSelect_brk00000894_24b_k,Selections from The Bancroft Library,fetched,https://digicoll.lib.berkeley.edu/record/141545?ln=en,https://digicoll.lib.berkeley.edu/record/141545/files/brk00000894_24b_k.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/14/141545/brk00000894_24b_k.jpg
144405,BancSelect_brk00004952_24a_k,Selections from The Bancroft Library,fetched,https://digicoll.lib.berkeley.edu/record/144405?ln=en,https://digicoll.lib.berkeley.edu/record/144405/files/brk00004952_24a_k.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/14/144405/brk00004952_24a_k.jpg
144772,BancSelect_brk00005524_24a_k,Selections from The Bancroft Library,fetched,https://digicoll.lib.berkeley.edu/record/144772?ln=en,https://digicoll.lib.berkeley.edu/record/144772/files/brk00005524_24a_k.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/14/144772/brk00005524_24a_k.jpg
157119,bonney_cubanc_45_3_00218625,Thérèse Bonney Photograph Collection circa 1850-circa 1955,fetched,https://digicoll.lib.berkeley.edu/record/157119?ln=en,https://digicoll.lib.berkeley.edu/record/157119/files/cubanc_45_3_01256329b_ii.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/15/157119/cubanc_45_3_01256329b_ii.jpg
163204,earthquake_cubanc_24_1_00056425,1906 San Francisco Earthquake and Fire Digital Collection,fetched,https://digicoll.lib.berkeley.edu/record/163204?ln=en,https://digicoll.lib.berkeley.edu/record/163204/files/brk00002561_34a_k.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/16/163204/brk00002561_34a_k.jpg
166620,earthquake_cubanc_24_1_00056103,1906 San Francisco Earthquake and Fire Digital Collection,fetched,https://digicoll.lib.berkeley.edu/record/166620?ln=en,https://digicoll.lib.berkeley.edu/record/166620/files/brk00002224_34a_k.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/16/166620/brk00002224_34a_k.jpg
203040,bancpostcards-C121407041_1331,Walter Robert and Gail Lynn Kransky collection of Edward H. Mitchell postcards,fetched,https://digicoll.lib.berkeley.edu/record/203040?ln=en,https://digicoll.lib.berkeley.edu/record/203040/files/C121407041_1331.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/20/203040/C121407041_1331.jpg
216115,calher_cubanc_25_3_00204638,Roy D. Graves Pictorial Collection,fetched,https://digicoll.lib.berkeley.edu/record/216115?ln=en,https://digicoll.lib.berkeley.edu/record/216115/files/cubanc_25_3_00397369a_ii.jpg,/opt/airflow/download/manual__2026-05-05T21:06:08.065417+00:00/21/216115/cubanc_25_3_00397369a_ii.jpg
